"","termID","term","measurementTypeID","measurementType","dataType","originalField_AIM","originalField_NRSA","originalField_PIBO","originalField_AREMP","originalUnit_AIM","originalUnit_NRSA","originalUnit_PIBO","originalUnit_AREMP","originalDataType_AIM","originalDataType_NRSA","originalDataType_PIBO","originalDataType_AREMP","methodCollection_AIM","methodCollection_NRSA","methodCollection_PIBO","methodCollection_AREMP","methodAnalysis_AIM","methodAnalysis_NRSA","methodAnalysis_PIBO","methodAnalysis_AREMP","description","units","entity","attribute","sourcedefinition","minimumPossibleValue","maximumPossibleValue","title"
"1",401,"term",500,"Sin","Numeric","Sinuosity","SINU","Sin",NA,"ratio","ratio","ratio",NA,"Double","Double","Double",NA,"www.monitoringresources.org/Document/Method/Details/7017","www.monitoringresources.org/Document/Method/Details/1610","www.monitoringresources.org/Document/Method/Details/6868",NA,"www.monitoringresources.org/Document/Method/Details/7007","www.monitoringresources.org/Document/Method/Details/7005","www.monitoringresources.org/Document/Method/Details/7007",NA,"Reach sinuosity (reach length along the thalweg divided by straight line distance between the bottom of the reach and the top of the reach, unit: none)","ratio","MetricControlledVocabulary","measurementType","Producer defined",NA,NA,"Reach sinuosity "
"2",401,"term",501,"StreamOrder","Numeric","StreamOrder","STRAHLERORDER",NA,"StreamOrder",NA,NA,NA,NA,"Integer","Double",NA,"Integer",NA,NA,NA,NA,NA,NA,NA,NA,"Strahler stream order of the site from the provider dataset (unit: none).",NA,"MetricControlledVocabulary","measurementType","Producer defined",1,12,"Strahler stream order"
"3",401,"term",502,"AvgBFWDRatio","Numeric",NA,"BFWD_RAT","WDTrans","ave_widthDepth_ratio",NA,"ratio","ratio","ratio",NA,"Double","Double","Double",NA,"www.monitoringresources.org/Document/Method/Details/6870 | www.monitoringresources.org/Document/Method/Details/56","www.monitoringresources.org/Document/Method/Details/65 | https://www.monitoringresources.org/Document/Method/Details/6871","www.monitoringresources.org/Document/CustomizedMethod/Details/31107",NA,"www.monitoringresources.org/Document/Method/Details/1064 OR  www.monitoringresources.org/Document/Method/Details/1275","www.monitoringresources.org/Document/Method/Details/7047","www.monitoringresources.org/Document/Method/Details/4245","Average bankfull width depth ratio for the reach (unit: meters).","meters","MetricControlledVocabulary","measurementType","Producer defined",0,NA,"Average bankfull width to depth ratio "
"4",401,"term",503,"BFHeight","Numeric","BankfullHeightAvg","XBKF_H",NA,"average_bfdepth","meters","meters",NA,"meters","Double","Double",NA,"Double","www.monitoringresources.org/Document/Method/Details/7013","www.monitoringresources.org/Document/Method/Details/56",NA,"www.monitoringresources.org/Document/CustomizedMethod/Details/31107","www.monitoringresources.org/Document/Method/Details/4245","www.monitoringresources.org/Document/Method/Details/7014",NA,"www.monitoringresources.org/Document/CustomizedMethod/Details/32163","Average bankfull height measured from water surface across transects (unit: meters).","meters","MetricControlledVocabulary","measurementType","Producer defined",NA,NA,"Average bankfull height "
"5",401,"term",504,"BFWidth","Numeric","BankfullWidthAvg","XBKF_W","Bf","average_bfwidth","meters","meters","meters","meters","Double","Double","Double","Double","www.monitoringresources.org/Document/Method/Details/7030","www.monitoringresources.org/Document/Method/Details/6870","www.monitoringresources.org/Document/Method/Details/6871","www.monitoringresources.org/Document/Method/Details/6849","www.monitoringresources.org/Document/CustomizedMethod/Details/32166","www.monitoringresources.org/Document/Method/Details/4103","www.monitoringresources.org/Document/CustomizedMethod/Details/32197","www.monitoringresources.org/Document/Method/Details/4245","Average bankfull width across transects for the reach (unit: meters).","meters","MetricControlledVocabulary","measurementType","Producer defined",NA,NA,"Average bankfull width "
"6",401,"term",506,"Grad","Numeric","PctSlope","XSLOPE","Grad","gradient","percent","percent","percent","percent expressed as a decimal","Double","Double","Double","Double","www.monitoringresources.org/Document/CustomizedMethod/Details/31139","www.monitoringresources.org/Document/Method/Details/6852","www.monitoringresources.org/Document/Method/Details/6868","www.monitoringresources.org/Document/Method/Details/6852","www.monitoringresources.org/Document/Method/Details/7033","www.monitoringresources.org/Document/Method/Details/4113","www.monitoringresources.org/Document/Method/Details/4113",NA,"Slope of water surface from the bottom of the reach to the top of the reach (expressed as percent, unit: none).","percent","MetricControlledVocabulary","measurementType","Producer defined",0,100,"Gradient "
"7",401,"term",507,"MeanThalwegDepth","Numeric","ThalwegDepthAvg","XDEPTH_CM",NA,NA,"meters","centimeters",NA,NA,"Double","Double",NA,NA,"www.monitoringresources.org/Document/Method/Details/7008","www.monitoringresources.org/Document/Method/Details/74",NA,NA,"www.monitoringresources.org/Document/Method/Details/4245","www.monitoringresources.org/Document/Method/Details/7015",NA,NA,"Mean thalweg depth. Metric of how deep the water was at the site (unit: meters).","meters","MetricControlledVocabulary","measurementType","Producer defined",NA,NA,"Thalweg depth "
"8",401,"term",508,"ReachLen","Numeric","ProtocolReachLength","REACHLEN","RchLen","REACH_LENGTH","meters","meters","meters","meters","Double","Double","Double","Double","www.monitoringresources.org/Document/Method/Details/7017","www.monitoringresources.org/Document/Method/Details/1610","www.monitoringresources.org/Document/Method/Details/58","www.monitoringresources.org/Document/Method/Details/3807",NA,NA,NA,NA,"Length of sampling reach measured along the thalweg (unit: meters).","meters","MetricControlledVocabulary","measurementType","Producer defined",NA,NA,"Reach length "
"9",401,"term",509,"WetWidth","Numeric","WettedWidthAvg","XWIDTH",NA,"wettedWidth_ave","meters","meters",NA,"meters","Double","Double",NA,"Double","www.monitoringresources.org/Document/Method/Details/7031","www.monitoringresources.org/Document/Method/Details/1610",NA,"www.monitoringresources.org/Document/CustomizedMethod/Details/31107","www.monitoringresources.org/Document/Method/Details/4245","www.monitoringresources.org/Document/Method/Details/3893",NA,"www.monitoringresources.org/Document/CustomizedMethod/Details/32163","Average wetted width across transects (unit: meters).","meters","MetricControlledVocabulary","measurementType","Producer defined",NA,NA,"Average wetted widht "
"10",401,"term",510,"PctPool","Numeric","PctPools",NA,"PoolPct","PctReachInPools","percent",NA,"percent","percent","Double",NA,"Double","Double","www.monitoringresources.org/Document/Method/Details/6859",NA,"www.monitoringresources.org/Document/Method/Details/6872","www.monitoringresources.org/Document/Method/Details/6844","www.monitoringresources.org/Document/Method/Details/4115",NA,"www.monitoringresources.org/Document/Method/Details/55","www.monitoringresources.org/Document/Method/Details/4115","Percent of the sample reach (linear extent) classified as pool habitat (expressed as a percent, unit: none, min: 0, max: 100).","percent","MetricControlledVocabulary","measurementType","Producer defined",0,100,"Percent pools "
