"termID","term","program","orginalField","CollectionMethod.x","AnalysisMethod.x","CollectionMethod.y","AnalysisMethod.y"
13,"verbatimLocationID","AREMP","SITE_ID",NA,NA,NA,NA
13,"verbatimLocationID","AIM","MS_CD",NA,NA,NA,NA
13,"verbatimLocationID","NewAIM","PointID",NA,NA,NA,NA
13,"verbatimLocationID","NRSA","SITE_ID",NA,NA,NA,NA
13,"verbatimLocationID","PIBO","SiteID",NA,NA,NA,NA
14,"waterBody","AIM","STRM_NM",NA,NA,NA,NA
14,"waterBody","NewAIM","StreamName",NA,NA,NA,NA
14,"waterBody","PIBO","Stream",NA,NA,NA,NA
15,"latitude","AREMP","lattitude",NA,NA,NA,NA
15,"latitude","AIM","MIDLAT",NA,NA,NA,NA
15,"latitude","NewAIM","MiddleReachLatitude",NA,NA,NA,NA
15,"latitude","NRSA","LAT_DD83",NA,NA,NA,NA
15,"latitude","PIBO","Lat",NA,NA,NA,NA
16,"longitude","AREMP","longitude",NA,NA,NA,NA
16,"longitude","AIM","MIDLONG",NA,NA,NA,NA
16,"longitude","NewAIM","MiddleReachLongitude",NA,NA,NA,NA
16,"longitude","NRSA","LON_DD83",NA,NA,NA,NA
16,"longitude","PIBO","Long",NA,NA,NA,NA
20,"verbatimEventID","AREMP","site_survey_id",NA,NA,NA,NA
20,"verbatimEventID","AIM","UID",NA,NA,NA,NA
20,"verbatimEventID","NewAIM","EvaluationID",NA,NA,NA,NA
20,"verbatimEventID","NRSA","UID",NA,NA,NA,NA
20,"verbatimEventID","PIBO","RchID",NA,NA,NA,NA
22,"eventDate","AREMP","survey_date",NA,NA,NA,NA
22,"eventDate","AIM","DT",NA,NA,NA,NA
22,"eventDate","NewAIM","FieldEvalDate",NA,NA,NA,NA
22,"eventDate","NRSA","DATE_COL",NA,NA,NA,NA
22,"eventDate","PIBO","SampDate",NA,NA,NA,NA
23,"samplingProtocol","AREMP","survey_type",NA,NA,NA,NA
23,"samplingProtocol","AIM","PRTCL",NA,NA,NA,NA
23,"samplingProtocol","NewAIM","ProtocolVersion",NA,NA,NA,NA
23,"samplingProtocol","NRSA","VALXSITE",NA,NA,NA,NA
23,"samplingProtocol","PIBO","Type",NA,NA,NA,NA
24,"year","AREMP","survey_year",NA,NA,NA,NA
24,"year","NRSA","YEAR",NA,NA,NA,NA
24,"year","PIBO","Yr",NA,NA,NA,NA
33,"Beaver","AREMP","beaver_impacted","www.monitoringresources.org/Document/Method/Details/7003",NA,NA,NA
33,"Beaver","AIM","BVR_SGN","www.monitoringresources.org/Document/Method/Details/7002",NA,NA,NA
34,"PctDry","AIM","PCT_DRY","www.monitoringresources.org/Document/CustomizedMethod/Details/31137","www.monitoringresources.org/Document/Method/Details/7004",NA,NA
34,"PctDry","NewAIM","PctDry",NA,NA,NA,NA
34,"PctDry","NRSA","PCT_DRS","www.monitoringresources.org/Document/Method/Details/1610","www.monitoringresources.org/Document/Method/Details/7018",NA,NA
34,"PctDry","PIBO","StrmFlow","www.monitoringresources.org/Document/Method/Details/924","tbd",NA,NA
35,"Sin","AIM","SNSTY","www.monitoringresources.org/Document/Method/Details/3807","www.monitoringresources.org/Document/Method/Details/7007",NA,NA
35,"Sin","NRSA","SINU","www.monitoringresources.org/Document/Method/Details/1610","www.monitoringresources.org/Document/Method/Details/7005",NA,NA
35,"Sin","PIBO","Sin","www.monitoringresources.org/Document/Method/Details/6868","tbd",NA,NA
36,"StreamOrder","AREMP","StreamOrder",NA,NA,NA,NA
36,"StreamOrder","AIM","STRM_ORDR",NA,NA,NA,NA
36,"StreamOrder","NewAIM","StreamOrder",NA,NA,NA,NA
36,"StreamOrder","NRSA","STRAHLERORDER",NA,NA,NA,NA
37,"AvgBFWDRatio","AREMP","ave_widthDepth_ratio","www.monitoringresources.org/Document/Method/Details/6849 AND https://www.monitoringresources.org/Document/CustomizedMethod/Details/31107","www.monitoringresources.org/Document/Method/Details/1064 OR www.monitoringresources.org/Document/Method/Details/1275",NA,NA
37,"AvgBFWDRatio","NRSA","BFWD_RAT","www.monitoringresources.org/Document/Method/Details/6870 AND www.monitoringresources.org/Document/Method/Details/56","www.monitoringresources.org/Document/Method/Details/1064 OR  www.monitoringresources.org/Document/Method/Details/1275",NA,NA
37,"AvgBFWDRatio","PIBO","WDTrans","www.monitoringresources.org/Document/Method/Details/65 AND https://www.monitoringresources.org/Document/Method/Details/6871","www.monitoringresources.org/Document/Method/Details/1064 OR  www.monitoringresources.org/Document/Method/Details/1275",NA,NA
38,"BFHeight","AREMP","average_bfdepth","www.monitoringresources.org/Document/CustomizedMethod/Details/31107","tbd",NA,NA
38,"BFHeight","AIM","BNKFLL_HT","www.monitoringresources.org/Document/Method/Details/7013","tbd",NA,NA
38,"BFHeight","NewAIM","BankfullHeightAvg",NA,NA,NA,NA
38,"BFHeight","NRSA","XBKF_H","www.monitoringresources.org/Document/Method/Details/56","www.monitoringresources.org/Document/Method/Details/7014",NA,NA
39,"BFWidth","AREMP","average_bfwidth","www.monitoringresources.org/Document/Method/Details/6849","www.monitoringresources.org/Document/Method/Details/4103",NA,NA
39,"BFWidth","AIM","BNKFLL_WT","https://www.monitoringresources.org/Document/CustomizedMethod/Details/31137","www.monitoringresources.org/Document/Method/Details/4103",NA,NA
39,"BFWidth","NewAIM","BankfullWidthAvg",NA,NA,NA,NA
